timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674201171161,3555,Penny Drop Bank Account - invalid details,200,OK,Thread Group 1-1,text,true,,615,3241,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/service/cnf/en-bnpl-cnf-proposal-bank-acc-details/section/en-sec-proposal-acc-info/pennyDrop,3554,0,0
1674201174717,2156,Save Bank Account for Non coco BNPL Proposal,201,Created,Thread Group 1-1,text,true,,2833,3441,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/biz/cnf/en-bnpl-cnf-proposal-bank-acc-details/section/en-sec-proposal-acc-info/entities/create/63ca48436049f38735f1b303/63ca484b6049f38735f1b317,2156,0,183
1674201176874,1899,Save Bank Account for Coco BNPL Proposal,201,Created,Thread Group 1-1,text,true,,2829,3441,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/biz/cnf/en-bnpl-cnf-proposal-bank-acc-details/section/en-sec-proposal-acc-info/entities/create/63ca48196049f38735f1b2a7/63ca48286049f38735f1b2c4,1898,0,0
1674201178774,1063,Fetch Bank Details for non coco BNPL proposal PG,200,OK,Thread Group 1-1,text,true,,2778,3249,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/query/cnf/en-bnpl-cnf-custom-queries/code/entity-proposal-bank-acc-pg/63ca48436049f38735f1b303/63ca484b6049f38735f1b317,1063,0,0
1674201179838,710,Fetch Bank Details for coco BNPL proposal PG,200,OK,Thread Group 1-1,text,true,,2778,3249,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/query/cnf/en-bnpl-cnf-custom-queries/code/entity-proposal-bank-acc-pg/63ca48196049f38735f1b2a7/63ca48286049f38735f1b2c4,709,0,0
1674201180549,1513,Delete Coco BNPL Proposal,200,OK,Thread Group 1-1,text,true,,402,3143,1,1,https://test-entity.jai-kisan.com/entities/v1/en-master/biz/cnf/en-bnpl-cnf-product-information/section/en-sec-product-details/entities/delete/63ca48196049f38735f1b2a7/63ca48286049f38735f1b2c4,1513,0,0
1674201182062,1422,Delete Non Coco BNPL Proposal,200,OK,Thread Group 1-1,text,true,,402,3143,1,1,https://test-entity.jai-kisan.com/entities/v1/en-master/biz/cnf/en-bnpl-cnf-product-information/section/en-sec-product-details/entities/delete/63ca48436049f38735f1b303/63ca484b6049f38735f1b317,1422,0,0
1674201183484,1437,Delete Coco Entity,200,OK,Thread Group 1-1,text,true,,402,3119,1,1,https://test-entity.jai-kisan.com/entities/v1/en-master/biz/cnf/en-bnpl-cnf-company-information-tab-1/section/en-sec-firm-isGst/entities/delete/63ca48196049f38735f1b2a7,1437,0,0
1674201184922,1496,Delete Non Coco Entity,200,OK,Thread Group 1-1,text,true,,402,3119,1,1,https://test-entity.jai-kisan.com/entities/v1/en-master/biz/cnf/en-bnpl-cnf-company-information-tab-1/section/en-sec-firm-isGst/entities/delete/63ca48436049f38735f1b303,1496,0,0
1674201112465,73914,BNPL ENTITY,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,100596,107414,1,1,null,73870,39,429
1674201191250,10051,SMTP Sampler,500,IOException while sending message,Thread Group 1-1,text,false,,5375,0,1,1,null,0,0,0
1674201201300,1,SMTP Sampler-0,200,OK,Thread Group 1-1,text,true,,4971,0,1,1,null,0,0,0
